gvkey,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,tic,curcdq,datacqtr,datafqtr,costat,mkvaltq
001045,20100331,2010,1,INDL,C,D,STD,AAL,USD,2010Q1,2010Q1,A,3034.1766
001045,20100630,2010,2,INDL,C,D,STD,AAL,USD,2010Q2,2010Q2,A,2258.1468
001045,20100930,2010,3,INDL,C,D,STD,AAL,USD,2010Q3,2010Q3,A,2088.2862
001045,20101231,2010,4,INDL,C,D,STD,AAL,USD,2010Q4,2010Q4,A,2597.5755
001045,20110331,2011,1,INDL,C,D,STD,AAL,USD,2011Q1,2011Q1,A,2151.5676
001045,20110630,2011,2,INDL,C,D,STD,AAL,USD,2011Q2,2011Q2,A,1809.3240
001045,20110930,2011,3,INDL,C,D,STD,AAL,USD,2011Q3,2011Q3,A,991.7776
001045,20111231,2011,4,INDL,C,D,STD,AAL,USD,2011Q4,2011Q4,A,117.3438
001045,20120331,2012,1,INDL,C,D,STD,AAL,USD,2012Q1,2012Q1,A,164.8495
001045,20120630,2012,2,INDL,C,D,STD,AAL,USD,2012Q2,2012Q2,A,183.9479
001045,20120930,2012,3,INDL,C,D,STD,AAL,USD,2012Q3,2012Q3,A,122.2969
001045,20121231,2012,4,INDL,C,D,STD,AAL,USD,2012Q4,2012Q4,A,266.5571
001045,20130331,2013,1,INDL,C,D,STD,AAL,USD,2013Q1,2013Q1,A,1390.4990
001045,20130630,2013,2,INDL,C,D,STD,AAL,USD,2013Q2,2013Q2,A,1350.2918
001045,20130930,2013,3,INDL,C,D,STD,AAL,USD,2013Q3,2013Q3,A,1377.0966
001045,20131231,2013,4,INDL,C,D,STD,AAL,USD,2013Q4,2013Q4,A,6591.9923
001045,20140331,2014,1,INDL,C,D,STD,AAL,USD,2014Q1,2014Q1,A,23788.2798
001045,20140630,2014,2,INDL,C,D,STD,AAL,USD,2014Q2,2014Q2,A,30952.7659
001045,20140930,2014,3,INDL,C,D,STD,AAL,USD,2014Q3,2014Q3,A,25448.3138
001045,20141231,2014,4,INDL,C,D,STD,AAL,USD,2014Q4,2014Q4,A,37405.5843
001045,20150331,2015,1,INDL,C,D,STD,AAL,USD,2015Q1,2015Q1,A,36618.8168
001045,20150630,2015,2,INDL,C,D,STD,AAL,USD,2015Q2,2015Q2,A,27087.4712
001045,20150930,2015,3,INDL,C,D,STD,AAL,USD,2015Q3,2015Q3,A,24855.3936
001045,20151231,2015,4,INDL,C,D,STD,AAL,USD,2015Q4,2015Q4,A,26452.7417
001045,20160331,2016,1,INDL,C,D,STD,AAL,USD,2016Q1,2016Q1,A,24017.8346
001045,20160630,2016,2,INDL,C,D,STD,AAL,USD,2016Q2,2016Q2,A,15206.4617
001045,20160930,2016,3,INDL,C,D,STD,AAL,USD,2016Q3,2016Q3,A,19006.4842
001045,20161231,2016,4,INDL,C,D,STD,AAL,USD,2016Q4,2016Q4,A,23685.5569
001045,20170331,2017,1,INDL,C,D,STD,AAL,USD,2017Q1,2017Q1,A,20970.2250
001045,20170630,2017,2,INDL,C,D,STD,AAL,USD,2017Q2,2017Q2,A,24539.1518
